Mod:Item:MetaData, Localized Name
hbm:tile.ore_thorium, Thorium Ore
hbm:tile.ore_titanium, Titanium Ore
hbm:tile.ore_sulfur, Sulfur Ore
hbm:tile.ore_niter, Niter Ore
hbm:tile.ore_copper, Copper Ore
hbm:tile.ore_tungsten, Tungsten Ore
hbm:tile.ore_aluminium, Aluminium Ore
hbm:tile.ore_fluorite, Fluorite Ore
hbm:tile.ore_beryllium, Beryllium Ore
hbm:tile.ore_lead, Lead Ore
hbm:tile.ore_oil, Oil Deposit
hbm:tile.ore_oil_empty, Empty Oil Deposit
hbm:tile.ore_oil_sand, Tar Sand
hbm:tile.ore_lignite, Lignite Ore
hbm:tile.ore_asbestos, Asbestos Ore
hbm:tile.ore_schrabidium, Schrabidium Ore
hbm:tile.ore_australium, Australian Ore
hbm:tile.ore_weidanium, Weidite
hbm:tile.ore_reiium, Reiite
hbm:tile.ore_unobtainium, Brightblende Ore
hbm:tile.ore_daffergon, Dellite
hbm:tile.ore_verticium, Dollar Green Mineral
hbm:tile.ore_rare, Rare Earth Ore
hbm:tile.ore_cobalt, Cobalt Ore
hbm:tile.ore_cinnebar, Cinnabar Ore
hbm:tile.ore_coltan, Coltan Ore
hbm:tile.cluster_iron, Iron Ore Cluster
hbm:tile.cluster_titanium, Titanium Ore Cluster
hbm:tile.cluster_aluminium, Aluminium Ore Cluster
hbm:tile.cluster_copper, Copper Ore Cluster
hbm:tile.ore_bedrock_coltan, Bedrock Coltan Ore
hbm:tile.ore_bedrock_oil, Bedrock Oil Deposit
hbm:tile.ore_coal_oil, Oily Coal Ore
hbm:tile.ore_coal_oil_burning, Burning Oily Coal Ore
hbm:tile.ore_nether_coal, Burning Nether Coal Ore
hbm:tile.ore_nether_smoldering, Smoldering Netherrack
hbm:tile.ore_nether_uranium, Nether Uranium Ore
hbm:tile.ore_nether_uranium_scorched, Scorched Nether Uranium Ore
hbm:tile.ore_nether_plutonium, Nether Plutonium Ore
hbm:tile.ore_nether_tungsten, Nether Tungsten Ore
hbm:tile.ore_nether_sulfur, Nether Sulfur Ore
hbm:tile.ore_nether_fire, Nether Phosphorus Ore
hbm:tile.ore_nether_cobalt, Nether Cobalt Ore
hbm:tile.ore_nether_schrabidium, Nether Schrabidium Ore
hbm:tile.ore_meteor_uranium, Meteor Uranium Ore
hbm:tile.ore_meteor_thorium, Meteor Thorium Ore
hbm:tile.ore_meteor_titanium, Meteor Titanium Ore
hbm:tile.ore_meteor_sulfur, Meteor Sulfur Ore
hbm:tile.ore_meteor_copper, Meteor Copper Ore
hbm:tile.ore_meteor_tungsten, Meteor Tungsten Ore
hbm:tile.ore_meteor_aluminium, Meteor Aluminium Ore
hbm:tile.ore_meteor_lead, Meteor Lead Ore
hbm:tile.ore_meteor_lithium, Meteor Lithium Ore
hbm:tile.ore_meteor_starmetal, Starmetal Ore
hbm:tile.ore_gneiss_iron, Schist Iron Ore
hbm:tile.ore_gneiss_gold, Schist Gold Ore
hbm:tile.ore_gneiss_uranium, Schist Uranium Ore
hbm:tile.ore_gneiss_uranium_scorched, Scorched Schist Uranium Ore
hbm:tile.ore_gneiss_copper, Schist Copper Ore
hbm:tile.ore_gneiss_asbestos, Schist Asbestos Ore
hbm:tile.ore_gneiss_lithium, Schist Lithium Ore
hbm:tile.ore_gneiss_schrabidium, Schist Schrabidium Ore
hbm:tile.ore_gneiss_rare, Schist Rare Earth Ore
hbm:tile.ore_gneiss_gas, Gas Shale
hbm:tile.ore_depth_cinnebar, Depth Cinnabar Ore
hbm:tile.ore_depth_zirconium, Depth Zirconium Ore
hbm:tile.ore_depth_borax, Depth Borax Ore
hbm:tile.cluster_depth_iron, Depth Iron Ore Cluster
hbm:tile.cluster_depth_titanium, Depth Titanium Ore Cluster
hbm:tile.cluster_depth_tungsten, Depth Tungsten Ore Cluster
hbm:tile.ore_alexandrite, Alexandrite Ore
hbm:tile.ore_depth_nether_neodymium, Nether Depth Neodymium Ore
hbm:tile.basalt_sulfur, Sulfur-Rich Basalt
hbm:tile.basalt_fluorite, Fluorite-Rich Basalt
hbm:tile.basalt_asbestos, Asbestos-Rich Basalt
hbm:tile.basalt_gem, Gem-Rich Basalt
hbm:tile.ore_tikite, Trixite
hbm:tile.ore_bedrock, Bedrock Ore
hbm:tile.ore_volcano, Geothermal Vent
hbm:tile.crystal_power, tile.crystal_power.name
hbm:tile.crystal_energy, tile.crystal_energy.name
hbm:tile.crystal_robust, tile.crystal_robust.name
hbm:tile.crystal_trixite, tile.crystal_trixite.name
hbm:tile.stone_resource:0, Sulfurous Stone
hbm:tile.stone_resource:1, Chrysotile
hbm:tile.stone_resource:2, Hematite
hbm:tile.stone_resource:3, Malachite
hbm:tile.stone_resource:4, Limestone
hbm:tile.stone_resource:5, Bauxite
hbm:tile.stalagmite:0, Sulfurous Stalagmite
hbm:tile.stalagmite:1, Asbestos Stalagmite
hbm:tile.stalactite:0, Sulfurous Stalactite
hbm:tile.stalactite:1, Asbestos Stalactite
hbm:tile.stone_biome:0, tile.stone_biome.desert.name
hbm:tile.stone_biome:1, tile.stone_biome.woodland.name
hbm:tile.stone_porous, Porous Stone
hbm:tile.stone_gneiss, Graphitic Schist
hbm:tile.gneiss_brick, Schist Brick
hbm:tile.gneiss_tile, Schist Tile
hbm:tile.gneiss_chiseled, Chiseled Schist
hbm:tile.stone_depth, Depth Rock
hbm:tile.depth_brick, Depth Bricks
hbm:tile.depth_tiles, Depth Tiles
hbm:tile.stone_depth_nether, Nether Depth Rock
hbm:tile.depth_nether_brick, Nether Depth Bricks
hbm:tile.depth_nether_tiles, Nether Depth Tiles
hbm:tile.depth_dnt, DNT-Reinforced Depth Bricks
hbm:tile.basalt, Basalt
hbm:tile.basalt_smooth, Smooth Basalt
hbm:tile.basalt_brick, Basalt Bricks
hbm:tile.basalt_polished, Polished Basalt
hbm:tile.basalt_tiles, Basalt Tiles
hbm:tile.block_uranium, Block of Uranium
hbm:tile.block_u233, Block of Uranium-233
hbm:tile.block_u235, Block of Uranium-235
hbm:tile.block_u238, Block of Uranium-238
hbm:tile.block_uranium_fuel, Block of Uranium Fuel
hbm:tile.block_neptunium, Block of Neptunium
hbm:tile.block_polonium, Block of Polonium-210
hbm:tile.block_mox_fuel, Block of MOX Fuel
hbm:tile.block_plutonium, Block of Plutonium
hbm:tile.block_pu238, Block of Plutonium-238
hbm:tile.block_pu239, Block of Plutonium-239
hbm:tile.block_pu240, Block of Plutonium-240
hbm:tile.block_pu_mix, Block of Reactor Grade Plutonium
hbm:tile.block_plutonium_fuel, Block of Plutonium Fuel
hbm:tile.block_thorium, Block of Thorium-232
hbm:tile.block_thorium_fuel, Block of Thorium Fuel
hbm:tile.block_titanium, Block of Titanium
hbm:tile.block_sulfur, Block of Sulfur
hbm:tile.block_niter, Block of Niter
hbm:tile.block_niter_reinforced, Reinforced Block of Niter
hbm:tile.block_copper, Block of Copper
hbm:tile.block_red_copper, Block of Red Copper
hbm:tile.block_advanced_alloy, Block of Advanced Alloy
hbm:tile.block_tungsten, Block of Tungsten
hbm:tile.block_aluminium, Block of Aluminium
hbm:tile.block_fluorite, Block of Fluorite
hbm:tile.block_beryllium, Block of Beryllium
hbm:tile.block_cobalt, Block of Cobalt
hbm:tile.block_steel, Block of Steel
hbm:tile.block_tcalloy, Block of Technetium Steel
hbm:tile.block_cdalloy, Block of Cadmium Steel
hbm:tile.block_lead, Block of Lead
hbm:tile.block_bismuth, Block of Bismuth
hbm:tile.block_cadmium, Block of Cadmium
hbm:tile.block_coltan, Block of Coltan
hbm:tile.block_tantalium, Block of Tantalium
hbm:tile.block_niobium, Block of Niobium
hbm:tile.block_lithium, Block of Lithium
hbm:tile.block_zirconium, Block of Zirconium
hbm:tile.block_white_phosphorus, Block of White Phosphorus
hbm:tile.block_red_phosphorus, Block of Red Phosphorus
hbm:tile.block_yellowcake, Block of Yellowcake
hbm:tile.block_scrap, Block of Scrap
hbm:tile.block_electrical_scrap, Block of Electrical Scrap
hbm:tile.block_fallout, Block of Fallout
hbm:tile.block_foam, Foam
hbm:tile.block_graphite, Block of Graphite
hbm:tile.block_coke:0, Block of Coal Coke
hbm:tile.block_coke:1, Block of Lignite Coke
hbm:tile.block_coke:2, Block of Petroleum Coke
hbm:tile.block_graphite_drilled, Drilled Graphite
hbm:tile.block_graphite_fuel, Pile Fuel
hbm:tile.block_graphite_rod, Pile Control Rod
hbm:tile.block_graphite_plutonium, Pile Fuel (Bred)
hbm:tile.block_graphite_source, Pile Neutron Source
hbm:tile.block_graphite_lithium, Pile Lithium Fuel
hbm:tile.block_graphite_tritium, Pile Lithium Fuel (Bred)
hbm:tile.block_graphite_detector, Pile Neutron Detector
hbm:tile.block_boron, Block of Boron
hbm:tile.block_insulator, Roll of Insulation
hbm:tile.block_fiberglass, Roll of Fiberglass
hbm:tile.block_asbestos, Block of Asbestos
hbm:tile.block_trinitite, Block of Trinitite
hbm:tile.block_waste, Block of Nuclear Waste
hbm:tile.block_waste_painted, Painted Block of Nuclear Waste
hbm:tile.block_waste_vitrified, Vitrified Block of Nuclear Waste
hbm:tile.ancient_scrap, Ancient Scrap Metal
hbm:tile.block_corium, Corium
hbm:tile.block_corium_cobble, Corebblestone
hbm:tile.block_schraranium, Block of Schraranium
hbm:tile.block_schrabidium, Block of Schrabidium
hbm:tile.block_schrabidate, Block of Ferric Schrabidate
hbm:tile.block_solinium, Block of Solinium
hbm:tile.block_schrabidium_fuel, Block of Schrabidium Fuel
hbm:tile.block_euphemium, Block of Euphemium
hbm:tile.block_schrabidium_cluster, Schrabidium Cluster
hbm:tile.block_euphemium_cluster, Euphemium-Etched Schrabidium Cluster
hbm:tile.block_dineutronium, Block of Dineutronium
hbm:tile.block_magnetized_tungsten, Block of Magnetized Tungsten
hbm:tile.block_combine_steel, Block of CMB Steel
hbm:tile.block_desh, Reinforced Block of Desh
hbm:tile.block_dura_steel, Reinforced Block of High-Speed Steel
hbm:tile.block_starmetal, §9Block of Starmetal§r
hbm:tile.block_polymer, Block of Polymer
hbm:tile.block_bakelite, Block of Bakelite
hbm:tile.block_rubber, Block of Rubber
hbm:tile.block_australium, Block of Australium
hbm:tile.block_weidanium, Block of Weidanium
hbm:tile.block_reiium, Block of Reiium
hbm:tile.block_unobtainium, Block of Unobtainium
hbm:tile.block_daffergon, Block of Daffergon
hbm:tile.block_verticium, Block of Verticium
hbm:tile.block_lanthanium, Block of Lanthanium
hbm:tile.block_ra226, Block of Radium-226
hbm:tile.block_actinium, Block of Actinium
hbm:tile.block_tritium, Block of Tritium Cells
hbm:tile.block_semtex, Block of Semtex
hbm:tile.block_c4, Block of C-4
hbm:tile.block_smore, Block of S'more
hbm:tile.block_slag, Block of Slag
hbm:tile.block_cap_nuka, Block of Nuka Cola Bottle Caps
hbm:tile.block_cap_quantum, Block of Nuka Cola Quantum Bottle Caps
hbm:tile.block_cap_rad, Block of S~Cola RAD Bottle Caps
hbm:tile.block_cap_sparkle, Block of S~Cola Bottle Caps
hbm:tile.block_cap_korl, Block of Korl Bottle Caps
hbm:tile.block_cap_fritz, Block of Fritz Cola Bottle Caps
hbm:tile.block_cap_sunset, Block of Sunset Sarsaparilla Bottle Caps
hbm:tile.block_cap_star, Block of Sunset Sarsaparilla Star Caps
hbm:tile.deco_titanium, Titanium Deco Block
hbm:tile.deco_red_copper, Red Copper Deco Block
hbm:tile.deco_tungsten, Tungsten Deco Block
hbm:tile.deco_aluminium, Aluminium Deco Block
hbm:tile.deco_steel, Steel Deco Block
hbm:tile.deco_lead, Lead Deco Block
hbm:tile.deco_beryllium, Beryllium Deco Block
hbm:tile.deco_asbestos, Asbestos Roof
hbm:tile.deco_emitter, Deco Light Emitter
hbm:tile.part_emitter, Deco Particle Emitter
hbm:tile.deco_loot, tile.deco_loot.name
hbm:tile.bobblehead:1, Bobblehead
hbm:tile.bobblehead:2, Bobblehead
hbm:tile.bobblehead:3, Bobblehead
hbm:tile.bobblehead:4, Bobblehead
hbm:tile.bobblehead:5, Bobblehead
hbm:tile.bobblehead:6, Bobblehead
hbm:tile.bobblehead:7, Bobblehead
hbm:tile.bobblehead:8, Bobblehead
hbm:tile.bobblehead:9, Bobblehead
hbm:tile.bobblehead:10, Bobblehead
hbm:tile.bobblehead:11, Bobblehead
hbm:tile.bobblehead:12, Bobblehead
hbm:tile.bobblehead:13, Bobblehead
hbm:tile.bobblehead:14, Bobblehead
hbm:tile.bobblehead:15, Bobblehead
hbm:tile.bobblehead:16, Bobblehead
hbm:tile.bobblehead:17, Bobblehead
hbm:tile.bobblehead:18, Bobblehead
hbm:tile.bobblehead:19, Bobblehead
hbm:tile.bobblehead:20, Bobblehead
hbm:tile.bobblehead:21, Bobblehead
hbm:tile.snowglobe:1, tile.snowglobe.name
hbm:tile.hazmat, Hazmat Cloth Block
hbm:tile.deco_rbmk, RBMK Deco Block
hbm:tile.deco_rbmk_smooth, Smooth RBMK Deco Block
hbm:tile.gravel_obsidian, Crushed Obsidian
hbm:tile.gravel_diamond, Diamond Gravel
hbm:tile.lamp_tritium_green_off, Green Tritium Lamp
hbm:tile.lamp_tritium_green_on, Green Tritium Lamp
hbm:tile.lamp_tritium_blue_off, Blue Tritium Lamp
hbm:tile.lamp_tritium_blue_on, Blue Tritium Lamp
hbm:tile.lamp_uv_off, tile.lamp_uv_off.name
hbm:tile.lamp_uv_on, tile.lamp_uv_on.name
hbm:tile.lamp_demon, Demon Core Lamp
hbm:tile.asphalt, Asphalt
hbm:tile.asphalt_light, Glowing Asphalt
hbm:tile.reinforced_brick, Reinforced Stone
hbm:tile.reinforced_glass, Reinforced Glass
hbm:tile.reinforced_glass_pane, Reinforced Glass Pane
hbm:tile.reinforced_light, Reinforced Glowstone
hbm:tile.reinforced_sand, Reinforced Sandstone
hbm:tile.reinforced_lamp_off, Reinforced Lamp
hbm:tile.reinforced_lamp_on, Reinforced Lamp
hbm:tile.reinforced_laminate, Reinforced Laminate
hbm:tile.reinforced_laminate_pane, Reinforced Laminate Pane
hbm:tile.reinforced_stone, Dense Stone
hbm:tile.reinforced_ducrete, Reinforced Ducrete
hbm:tile.concrete_smooth, Concrete
hbm:tile.concrete_colored:0, White Concrete
hbm:tile.concrete_colored:1, Orange Concrete
hbm:tile.concrete_colored:2, Magenta Concrete
hbm:tile.concrete_colored:3, Light Blue Concrete
hbm:tile.concrete_colored:4, Yellow Concrete
hbm:tile.concrete_colored:5, Lime Concrete
hbm:tile.concrete_colored:6, Pink Concrete
hbm:tile.concrete_colored:7, Gray Concrete
hbm:tile.concrete_colored:8, Light Gray Concrete
hbm:tile.concrete_colored:9, Cyan Concrete
hbm:tile.concrete_colored:10, Purple Concrete
hbm:tile.concrete_colored:11, Blue Concrete
hbm:tile.concrete_colored:12, Brown Concrete
hbm:tile.concrete_colored:13, Green Concrete
hbm:tile.concrete_colored:14, Red Concrete
hbm:tile.concrete_colored:15, Black Concrete
hbm:tile.concrete_colored_ext:0, Builder's Choice Concrete - Industrial Tinge
hbm:tile.concrete_colored_ext:1, Builder's Choice Concrete - Industrial Stripe
hbm:tile.concrete_colored_ext:2, Builder's Choice Concrete - Deep Indigo
hbm:tile.concrete_colored_ext:3, Builder's Choice Concrete - Mysterious Purple
hbm:tile.concrete_colored_ext:4, Builder's Choice Concrete - Manly Pink
hbm:tile.concrete_colored_ext:5, Builder's Choice Concrete - Hazard Stripe
hbm:tile.concrete, Concrete Tile
hbm:tile.concrete_asbestos, Asbestos Concrete
hbm:tile.concrete_super, Über Concrete
hbm:tile.concrete_super_broken, Moldy Debris
hbm:tile.ducrete_smooth, Ducrete
hbm:tile.ducrete, Ducrete Tile
hbm:tile.concrete_pillar, Rebar Reinforced Concrete Pillar
hbm:tile.brick_concrete, Concrete Bricks
hbm:tile.brick_concrete_mossy, Mossy Concrete Bricks
hbm:tile.brick_concrete_cracked, Cracked Concrete Bricks
hbm:tile.brick_concrete_broken, Broken Concrete Bricks
hbm:tile.brick_concrete_marked, Marked Concrete Bricks
hbm:tile.brick_ducrete, Ducrete Bricks
hbm:tile.brick_obsidian, Obsidian Bricks
hbm:tile.brick_compound, Compound Mesh
hbm:tile.brick_light, Light Bricks
hbm:tile.brick_asbestos, Asbestos Bricks
hbm:tile.brick_fire, Firebricks
hbm:tile.concrete_slab:0, Concrete Slab
hbm:tile.concrete_slab:1, Concrete Tile Slab
hbm:tile.concrete_slab:2, Asbestos Concrete Slab
hbm:tile.concrete_slab:3, Ducrete Slab
hbm:tile.concrete_slab:4, Ducrete Tile Slab
hbm:tile.concrete_brick_slab:0, Concrete Brick Slab
hbm:tile.concrete_brick_slab:1, Mossy Concrete Brick Slab
hbm:tile.concrete_brick_slab:2, Cracked Concrete Brick Slab
hbm:tile.concrete_brick_slab:3, Broken Concrete Brick Slab
hbm:tile.concrete_brick_slab:4, Ducrete Brick Slab
hbm:tile.brick_slab:0, Dense Stone Slab
hbm:tile.brick_slab:1, Reinforced Stone Slab
hbm:tile.brick_slab:2, Obsidian Brick Slab
hbm:tile.brick_slab:3, Light Brick Slab
hbm:tile.brick_slab:4, Compound Mesh Slab
hbm:tile.brick_slab:5, Asbestos Brick Slab
hbm:tile.brick_slab:6, Firebrick Slab
hbm:tile.concrete_smooth_stairs, Concrete Stairs
hbm:tile.concrete_stairs, Concrete Tile Stairs
hbm:tile.concrete_asbestos_stairs, Asbestos Concrete Stairs
hbm:tile.ducrete_smooth_stairs, Ducrete Stairs
hbm:tile.brick_concrete_stairs, Concrete Brick Stairs
hbm:tile.brick_concrete_mossy_stairs, Mossy Concrete Brick Stairs
hbm:tile.brick_concrete_cracked_stairs, Cracked Concrete Brick Stairs
hbm:tile.brick_concrete_broken_stairs, Broken Concrete Brick Stairs
hbm:tile.brick_ducrete_stairs, Ducrete Brick Stairs
hbm:tile.reinforced_stone_stairs, Dense Stone Stairs
hbm:tile.reinforced_brick_stairs, Reinforced Stone Stairs
hbm:tile.brick_obsidian_stairs, Obsidian Brick Stairs
hbm:tile.brick_light_stairs, Light Bricks Stairs
hbm:tile.brick_compound_stairs, Compound Mesh Stairs
hbm:tile.brick_asbestos_stairs, Asbestos Brick Stairs
hbm:tile.brick_fire_stairs, Firebrick Stairs
hbm:tile.ducrete_stairs, Ducrete Tile Stairs
hbm:tile.cmb_brick, CMB Steel Tile
hbm:tile.cmb_brick_reinforced, Reinforced CMB Bricks
hbm:tile.vinyl_tile:0, Large Vinyl Tile
hbm:tile.vinyl_tile:1, Small Vinyl Tiles
hbm:tile.tile_lab, Laboratory Tiles
hbm:tile.tile_lab_cracked, Cracked Laboratory Tiles
hbm:tile.tile_lab_broken, Broken Laboratory Tiles
hbm:tile.barbed_wire, Barbed Wire
hbm:tile.barbed_wire_fire, Flaming Barbed Wire
hbm:tile.barbed_wire_poison, Poisoned Barbed Wire
hbm:tile.barbed_wire_acid, Caustic Barbed Wire
hbm:tile.barbed_wire_wither, Withered Barbed Wire
hbm:tile.barbed_wire_ultradeath, Cloud Barbed Wire
hbm:tile.spikes, Spikes
hbm:tile.tesla, Tesla Coil
hbm:tile.charger, Charging Station
hbm:tile.siege_shield, tile.siege_shield.name
hbm:tile.siege_internal, tile.siege_internal.name
hbm:tile.siege_circuit, tile.siege_circuit.name
hbm:tile.siege_emergency, tile.siege_emergency.name
hbm:tile.siege_hole, tile.siege_hole.name
hbm:tile.block_meteor, Meteorite Block
hbm:tile.block_meteor_cobble, Meteorite Cobblestone
hbm:tile.block_meteor_broken, Broken Meteorite Block
hbm:tile.block_meteor_molten, Hot Meteorite Cobblestone
hbm:tile.block_meteor_treasure, Meteorite Treasure Block
hbm:tile.meteor_polished, Polished Meteor Block
hbm:tile.meteor_brick, Meteor Bricks
hbm:tile.meteor_brick_mossy, Mossy Meteor Bricks
hbm:tile.meteor_brick_cracked, Cracked Meteor Bricks
hbm:tile.meteor_brick_chiseled, Chiseled Meteor Bricks
hbm:tile.meteor_pillar, Meteor Pillar
hbm:tile.meteor_spawner, Cyber Crab Assembler
hbm:tile.meteor_battery, Starmetal Static Electricity Generator
hbm:tile.brick_jungle, Enargite Bricks
hbm:tile.brick_jungle_cracked, Cracked Enargite Bricks
hbm:tile.brick_jungle_fragile, Brittle Enargite Bricks
hbm:tile.brick_jungle_lava, Magmatic Enargite Bricks
hbm:tile.brick_jungle_ooze, Radioactive Enargite Bricks
hbm:tile.brick_jungle_mystic, Arcane Enargite Bricks
hbm:tile.brick_jungle_trap:0, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:1, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:2, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:3, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:4, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:5, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:6, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:7, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:8, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:9, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:10, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:11, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:12, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:13, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:14, Trapped Enargite Bricks
hbm:tile.brick_jungle_glyph:0, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:1, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:2, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:3, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:4, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:5, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:6, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:7, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:8, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:9, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:10, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:11, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:12, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:13, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:14, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:15, Enargite Glyph Bricks
hbm:tile.brick_jungle_circle, Mechanist's Circle
hbm:tile.brick_dungeon, Berzelianite Bricks
hbm:tile.brick_dungeon_flat, Berzelianite Block
hbm:tile.brick_dungeon_tile, Berzelianite Tile
hbm:tile.brick_dungeon_circle, Berzelianite Cirlce
hbm:tile.brick_forgotten, tile.brick_forgotten.name
hbm:tile.deco_computer:0, IBM Personal Computer 300PL
hbm:tile.filing_cabinet:0, Dusty Filing Cabinet
hbm:tile.filing_cabinet:1, Steel Filing Cabinet
hbm:tile.tape_recorder, Tape Recorder
hbm:tile.steel_poles, Steel Pole
hbm:tile.pole_top, Antenna Top
hbm:tile.pole_satellite_receiver, Satellite Dish
hbm:tile.steel_wall, Steel Wall
hbm:tile.steel_corner, Steel Wall Corner
hbm:tile.steel_roof, Flat Steel Roof
hbm:tile.steel_beam, Steel Beam
hbm:tile.steel_scaffold:0, Steel Scaffold
hbm:tile.steel_scaffold:1, Steel Scaffold
hbm:tile.steel_scaffold:2, Steel Scaffold
hbm:tile.steel_scaffold:3, Steel Scaffold
hbm:tile.steel_grate, Steel Grate
hbm:tile.steel_grate_wide, Item Grate
hbm:tile.deco_pipe, Steel Pipe
hbm:tile.deco_pipe_rusted, Rusty Steel Pipe
hbm:tile.deco_pipe_green, Green Steel Pipe
hbm:tile.deco_pipe_green_rusted, Rusty Green Steel Pipe
hbm:tile.deco_pipe_red, Red Steel Pipe
hbm:tile.deco_pipe_marked, Gas Pipe
hbm:tile.deco_pipe_rim, Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_rusted, Rusty Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_green, Green Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_green_rusted, Rusty Green Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_red, Red Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_marked, Gas Pipe (Rimmed)
hbm:tile.deco_pipe_framed, Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_rusted, Rusty Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_green, Green Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_green_rusted, Rusty Green Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_red, Red Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_marked, Gas Pipe (Framed)
hbm:tile.deco_pipe_quad, Steel Pipes
hbm:tile.deco_pipe_quad_rusted, Rusty Steel Pipes
hbm:tile.deco_pipe_quad_green, Green Steel Pipes
hbm:tile.deco_pipe_quad_green_rusted, Rusty Green Steel Pipes
hbm:tile.deco_pipe_quad_red, Red Steel Pipes
hbm:tile.deco_pipe_quad_marked, Gas Pipes
hbm:tile.plant_flower:0, Foxglove
hbm:tile.plant_flower:1, Tobacco Plant
hbm:tile.plant_flower:2, Deadly Nightshade
hbm:tile.plant_flower:3, Hemp
hbm:tile.plant_flower:4, Mustard Willow
hbm:tile.plant_flower:5, Mustard Willow
hbm:tile.plant_tall:0, Hemp
hbm:tile.plant_tall:1, Mustard Willow
hbm:tile.plant_tall:2, Mustard Willow
hbm:tile.plant_tall:3, Mustard Willow (Mature)
hbm:tile.plant_dead:0, Dead Plant
hbm:tile.plant_dead:1, Dead Plant
hbm:tile.plant_dead:2, Dead Plant
hbm:tile.plant_dead:3, Dead Plant
hbm:tile.plant_dead:4, Dead Plant
hbm:tile.plant_reeds, Reeds
hbm:tile.mush, Glowing Mushroom
hbm:tile.mush_block, tile.mush_block.name
hbm:tile.mush_block_stem, tile.mush_block_stem.name
hbm:tile.glyphid_base, Glyphid Hive Block
hbm:tile.glyphid_spawner, Glyphid Hive Spawner
hbm:tile.moon_turf, Moon Turf
hbm:tile.waste_earth, Dead Grass
hbm:tile.waste_mycelium, Glowing Mycelium
hbm:tile.waste_trinitite, Trinitite Ore
hbm:tile.waste_trinitite_red, Red Trinitite Ore
hbm:tile.waste_log, Charred Log
hbm:tile.waste_leaves, Dead Leaves
hbm:tile.waste_planks, Charred Wooden Planks
hbm:tile.frozen_grass, Frozen Grass
hbm:tile.frozen_dirt, Frozen Dirt
hbm:tile.frozen_log, Frozen Log
hbm:tile.frozen_planks, Frozen Planks
hbm:tile.dirt_dead, Dead Dirt
hbm:tile.dirt_oily, Oily Dirt
hbm:tile.sand_dirty, Oily Sand
hbm:tile.sand_dirty_red, Red Oily Sand
hbm:tile.stone_cracked, Cracked Stone
hbm:tile.fallout, Fallout
hbm:tile.foam_layer, Foam layer
hbm:tile.sand_boron_layer, Boron Sand Layer
hbm:tile.leaves_layer, Fallen Leaves
hbm:tile.burning_earth, Burning Grass
hbm:tile.tektite, Tektite
hbm:tile.ore_tektite_osmiridium, Osmiridium-Infused Tektite
hbm:tile.impact_dirt, Scorched Dirt
hbm:tile.sellafield_slaked, Slaked Sellafite
hbm:tile.sellafield:0, Sellafite
hbm:tile.sellafield:1, Hot Sellafite
hbm:tile.sellafield:2, Boiling Sellafite
hbm:tile.sellafield:3, Blazing Sellafite
hbm:tile.sellafield:4, Infernal Sellafite
hbm:tile.sellafield:5, Sellafite-Corium
hbm:tile.geysir_water, tile.geysir_water.name
hbm:tile.geysir_chlorine, tile.geysir_chlorine.name
hbm:tile.geysir_vapor, tile.geysir_vapor.name
hbm:tile.geysir_nether, tile.geysir_nether.name
hbm:tile.nuke_gadget, The Gadget
hbm:tile.nuke_boy, Little Boy
